TouchpointID,CustomerID,ChannelID,Timestamp
T00036,C0007,CH05,2023-06-28 17:47:00
T00037,C0007,CH04,2024-03-24 00:08:00
T00038,C0007,CH02,2024-04-19 11:51:00
T00039,C0007,CH05,2024-04-25 20:13:00
T00040,C0008,CH04,2023-07-13 17:01:00
T00041,C0008,CH03,2024-01-02 10:38:00
T00042,C0008,CH03,2024-01-25 06:49:00
T05507,C0008,CH06,2024-01-25 06:49:01
T00043,C0009,CH01,2023-06-03 06:41:00
T00044,C0009,CH02,2023-06-11 14:42:00
T00045,C0009,CH03,2023-10-25 07:03:00
T00046,C0009,CH02,2024-02-26 18:48:00
T00047,C0009,CH05,2024-06-12 02:27:00
T00048,C0009,CH02,2024-10-14 02:29:00
T00049,C0009,CH02,2024-12-20 00:15:00
T05238,C0009,CH06,2024-12-20 00:15:01
T00050,C0010,CH04,2023-07-18 06:24:00
T00051,C0010,CH03,2023-08-05 05:38:00
T00052,C0010,CH05,2024-05-21 07:53:00
T00053,C0010,CH02,2024-07-04 16:01:00
T00054,C0010,CH01,2024-09-16 19:53:00
T05022,C0010,CH06,2024-09-16 19:53:01
T00055,C0011,CH03,2023-03-26 12:37:00
T00056,C0011,CH05,2023-05-26 09:09:00
T00057,C0011,CH01,2023-12-12 02:52:00
T00058,C0011,CH01,2024-03-18 07:58:00
T00059,C0011,CH02,2024-10-01 10:41:00
T00060,C0011,CH05,2024-12-27 16:30:00
T05117,C0011,CH06,2024-12-27 16:30:01
T00061,C0012,CH02,2023-03-12 06:16:00
T00062,C0012,CH04,2023-11-13 07:16:00
T00063,C0012,CH05,2024-02-11 16:09:00
T00064,C0012,CH03,2024-05-19 19:57:00
T00065,C0012,CH05,2024-10-09 12:57:00
T00066,C0013,CH02,2023-03-08 21:56:00
T00067,C0013,CH04,2024-06-09 12:32:00
T00068,C0013,CH01,2024-09-12 01:54:00
T00069,C0013,CH02,2024-12-03 20:45:00
T05466,C0013,CH06,2024-12-03 20:45:01
T00070,C0014,CH03,2023-04-11 01:32:00
T00071,C0014,CH02,2023-05-31 08:59:00
T00072,C0014,CH01,2024-01-02 10:01:00
T00073,C0014,CH01,2024-10-12 21:21:00
T00074,C0014,CH05,2024-12-03 23:53:00
T00075,C0015,CH05,2023-04-30 23:38:00
T00076,C0015,CH01,2023-07-22 07:59:00
T00077,C0015,CH05,2023-09-07 15:29:00
T00078,C0015,CH03,2023-10-23 23:23:00
T00079,C0015,CH01,2023-12-24 19:50:00
T00080,C0015,CH02,2024-03-18 14:38:00
T00081,C0015,CH03,2024-12-28 21:43:00
T05482,C0015,CH06,2024-12-28 21:43:01
T00082,C0016,CH04,2023-02-20 19:35:00
T00083,C0016,CH05,2023-09-19 08:41:00
T00084,C0016,CH03,2024-06-09 17:19:00
T00085,C0016,CH02,2024-09-12 23:52:00
T00086,C0016,CH05,2024-11-03 16:17:00
T05481,C0016,CH06,2024-11-03 16:17:01
T00087,C0017,CH01,2023-01-15 10:26:00
T00088,C0017,CH01,2023-08-31 03:04:00
T00089,C0017,CH03,2023-12-03 19:38:00
T00090,C0017,CH05,2023-12-13 11:05:00
T00091,C0017,CH02,2024-03-26 13:35:00
T00092,C0017,CH05,2024-05-18 10:03:00
T00093,C0018,CH02,2023-01-26 16:28:00
T00094,C0018,CH05,2023-03-14 02:31:00
T00095,C0018,CH03,2024-11-15 11:46:00
T00096,C0019,CH04,2023-05-07 12:35:00
T00097,C0019,CH02,2023-11-20 04:05:00
T00098,C0019,CH02,2024-11-13 09:31:00
T00099,C0019,CH04,2024-12-05 05:52:00
T05401,C0019,CH06,2024-12-05 05:52:01
T00100,C0020,CH05,2023-04-21 09:32:00
T00101,C0020,CH05,2023-07-04 16:40:00
T00102,C0020,CH04,2023-10-01 12:53:00
T00103,C0020,CH05,2024-03-09 23:13:00
T00104,C0020,CH03,2024-03-26 13:11:00
T00105,C0020,CH04,2024-07-22 08:23:00
T00106,C0020,CH03,2024-09-07 17:22:00
T05385,C0020,CH06,2024-09-07 17:22:01
T00107,C0021,CH01,2023-02-11 23:23:00
T00108,C0021,CH03,2023-02-22 21:52:00
T00109,C0021,CH01,2023-12-25 06:10:00
T00110,C0021,CH04,2024-06-19 03:24:00
T00111,C0021,CH02,2024-07-05 02:51:00
T00112,C0021,CH01,2024-10-04 03:41:00
T00113,C0022,CH05,2023-03-08 17:56:00
T00114,C0022,CH01,2023-09-07 14:13:00
T00115,C0022,CH03,2024-06-28 17:02:00
T00116,C0022,CH04,2024-11-09 10:02:00
T00117,C0023,CH01,2023-01-03 09:16:00
T00118,C0023,CH04,2023-09-28 12:40:00
T00119,C0023,CH01,2024-03-08 23:29:00
T00120,C0023,CH01,2024-07-07 07:08:00
T00121,C0023,CH01,2024-07-26 17:31:00
T05007,C0023,CH06,2024-07-26 17:31:01
T00122,C0024,CH05,2023-01-10 06:37:00
T00123,C0024,CH05,2023-09-05 06:52:00
T00124,C0024,CH05,2024-04-03 03:06:00
T00125,C0024,CH04,2024-12-01 12:04:00
T05274,C0024,CH06,2024-12-01 12:04:01
T00126,C0025,CH01,2023-08-28 15:54:00
T00127,C0025,CH05,2024-07-12 12:41:00
T00128,C0025,CH02,2024-10-31 10:52:00
T00129,C0026,CH05,2023-01-01 11:48:00
T00130,C0026,CH03,2023-07-23 07:15:00
T00131,C0026,CH01,2023-08-13 05:33:00
T00132,C0026,CH03,2024-02-14 22:04:00
T05075,C0026,CH06,2024-02-14 22:04:01
T00133,C0027,CH02,2023-03-25 18:41:00
T00134,C0027,CH05,2023-08-12 22:52:00
T00135,C0027,CH04,2023-12-06 20:49:00
T00136,C0027,CH01,2024-01-17 10:49:00
T00137,C0028,CH05,2023-09-30 02:25:00
T00138,C0028,CH02,2023-10-17 04:21:00
T00139,C0028,CH04,2023-12-07 05:44:00
T00140,C0028,CH05,2024-04-05 14:38:00
T00141,C0028,CH04,2024-06-19 08:33:00
T05473,C0028,CH06,2024-06-19 08:33:01
T00142,C0029,CH03,2023-01-15 00:03:00
T00143,C0029,CH03,2023-05-20 04:18:00
T00144,C0029,CH01,2023-07-31 04:46:00
T00145,C0029,CH01,2023-11-18 11:55:00
T00146,C0029,CH04,2024-07-18 02:03:00
T00147,C0030,CH04,2023-01-13 09:47:00
T00148,C0030,CH02,2023-05-12 01:38:00
T00149,C0030,CH05,2023-09-22 15:52:00
T00150,C0030,CH03,2023-12-24 06:13:00
T00151,C0030,CH04,2024-04-19 10:23:00
T00152,C0030,CH03,2024-06-13 04:12:00
T00153,C0030,CH02,2024-07-09 07:21:00
T05467,C0030,CH06,2024-07-09 07:21:01
T00154,C0031,CH01,2023-02-12 10:55:00
T00155,C0031,CH03,2023-07-17 22:59:00
T00156,C0031,CH04,2023-07-23 16:28:00
T00157,C0031,CH02,2023-10-01 07:18:00
T00158,C0031,CH02,2024-03-07 09:47:00
T05371,C0031,CH06,2024-03-07 09:47:01
T00159,C0032,CH04,2023-06-23 19:01:00
T00160,C0032,CH05,2023-08-15 18:51:00
T00161,C0032,CH02,2023-09-27 08:22:00
T00162,C0032,CH02,2024-10-25 17:59:00
T00163,C0033,CH01,2023-08-28 01:40:00
T00164,C0033,CH04,2024-08-21 07:12:00
T00165,C0033,CH01,2024-11-04 10:00:00
T05321,C0033,CH06,2024-11-04 10:00:01
T00166,C0034,CH03,2023-06-28 21:11:00
T00167,C0034,CH05,2023-12-17 20:06:00
T00168,C0034,CH05,2024-08-25 07:02:00
T00169,C0034,CH05,2024-11-07 13:51:00
T00170,C0034,CH01,2024-11-17 17:22:00
T05475,C0034,CH06,2024-11-17 17:22:01
T00171,C0035,CH01,2023-07-20 02:30:00
T00172,C0035,CH04,2023-08-30 16:36:00
T00173,C0035,CH05,2023-12-21 10:31:00
T00174,C0035,CH02,2024-03-03 06:01:00
T00175,C0035,CH04,2024-05-29 20:00:00
T00176,C0035,CH03,2024-06-18 13:40:00
T00177,C0035,CH01,2024-10-14 12:02:00
T00178,C0036,CH04,2023-03-08 01:13:00
T00179,C0036,CH03,2023-06-11 02:34:00
T00180,C0036,CH02,2023-10-05 05:42:00
T00181,C0036,CH01,2024-01-08 00:43:00
T00182,C0036,CH04,2024-06-25 18:40:00
T00183,C0036,CH05,2024-09-17 12:25:00
T00184,C0036,CH04,2024-11-23 23:24:00
T00185,C0037,CH01,2023-05-03 02:25:00
T00186,C0037,CH01,2023-12-07 18:39:00
T00187,C0037,CH05,2023-12-14 23:47:00
T00188,C0037,CH04,2024-07-28 12:04:00
T04979,C0037,CH06,2024-07-28 12:04:01
T00189,C0038,CH02,2023-08-03 18:33:00
T00190,C0038,CH04,2024-04-23 14:19:00
T00191,C0038,CH04,2024-08-30 06:54:00
T00192,C0038,CH03,2024-09-08 03:13:00
T00193,C0038,CH03,2024-10-04 11:24:00
T05489,C0038,CH06,2024-10-04 11:24:01
T00194,C0039,CH03,2023-07-11 23:56:00
T00195,C0039,CH02,2024-07-10 06:46:00
T00196,C0039,CH04,2024-08-24 16:08:00
T00197,C0039,CH02,2024-09-04 14:22:00
T00198,C0039,CH05,2024-10-20 09:52:00
T05455,C0039,CH06,2024-10-20 09:52:01
T00199,C0040,CH05,2023-01-31 14:22:00
T00200,C0040,CH01,2023-04-19 21:12:00
T00201,C0040,CH01,2023-10-01 13:38:00
T00202,C0040,CH01,2024-01-02 12:20:00
T00203,C0040,CH05,2024-05-25 12:53:00
T00204,C0040,CH02,2024-09-13 13:13:00
T00205,C0040,CH02,2024-09-17 17:56:00
T05135,C0040,CH06,2024-09-17 17:56:01
T00206,C0041,CH03,2023-02-15 17:42:00
T00207,C0041,CH04,2023-03-31 11:16:00
T00208,C0041,CH04,2023-12-04 15:05:00
T00209,C0041,CH04,2024-07-20 18:09:00
T00210,C0041,CH03,2024-11-21 03:12:00
T05390,C0041,CH06,2024-11-21 03:12:01
T00211,C0042,CH01,2023-01-29 23:35:00
T00212,C0042,CH01,2023-02-18 22:57:00
T00213,C0042,CH01,2023-12-15 03:54:00
T00214,C0042,CH02,2024-01-17 16:21:00
T00215,C0043,CH01,2023-05-07 16:44:00
T00216,C0043,CH03,2023-10-29 18:00:00
T00217,C0043,CH02,2024-08-08 12:04:00
T05085,C0043,CH06,2024-08-08 12:04:01
T00218,C0044,CH04,2023-09-06 07:55:00
T00219,C0044,CH03,2023-09-24 01:40:00
T00220,C0044,CH02,2024-09-30 13:10:00
T00221,C0044,CH01,2024-10-19 14:36:00
T05058,C0044,CH06,2024-10-19 14:36:01
T00222,C0045,CH01,2023-12-01 05:57:00
T00223,C0045,CH05,2024-06-01 07:38:00
T00224,C0045,CH01,2024-07-14 20:18:00
T00225,C0045,CH04,2024-08-15 17:23:00
T00226,C0045,CH02,2024-10-02 10:39:00
T00227,C0046,CH01,2023-04-29 02:39:00
T00228,C0046,CH02,2023-07-29 12:17:00
T00229,C0046,CH05,2024-10-21 16:45:00
T00230,C0046,CH05,2024-10-27 17:47:00
T05203,C0046,CH06,2024-10-27 17:47:01
T00231,C0047,CH05,2023-02-20 19:25:00
T00232,C0047,CH03,2023-04-24 17:39:00
T00233,C0047,CH02,2023-10-21 09:31:00
T00234,C0047,CH05,2023-10-24 09:50:00
T00235,C0047,CH01,2024-01-22 03:10:00
T00236,C0047,CH01,2024-10-20 08:23:00
T05201,C0047,CH06,2024-10-20 08:23:01
T00237,C0048,CH04,2023-01-29 03:10:00
T00238,C0048,CH04,2023-05-08 09:54:00
T00239,C0048,CH05,2023-09-20 08:44:00
T00240,C0048,CH03,2024-08-09 00:16:00
T00241,C0048,CH02,2024-09-22 22:43:00
T00242,C0048,CH03,2024-11-26 23:54:00
T05565,C0048,CH06,2024-11-26 23:54:01
T00243,C0049,CH01,2023-02-01 18:18:00
T00244,C0049,CH02,2023-04-12 10:08:00
T00245,C0049,CH04,2023-11-04 17:00:00
T00246,C0049,CH01,2023-11-05 04:00:00
T00247,C0049,CH05,2024-11-05 20:38:00
T00248,C0050,CH05,2023-02-01 10:23:00
T00249,C0050,CH04,2023-03-13 20:58:00
T00250,C0050,CH04,2023-05-25 11:53:00
T00251,C0050,CH01,2023-07-18 13:42:00
T00252,C0050,CH02,2023-10-04 00:04:00
T00253,C0051,CH05,2023-06-26 04:51:00
T00254,C0051,CH02,2023-09-09 05:47:00
T00255,C0051,CH01,2024-05-13 12:44:00
T00256,C0052,CH02,2023-02-16 19:07:00
T00257,C0052,CH03,2023-05-27 17:28:00
T00258,C0052,CH04,2024-11-17 16:45:00
T00259,C0052,CH03,2024-11-28 21:16:00
T04987,C0052,CH06,2024-11-28 21:16:01
T00260,C0053,CH04,2023-02-16 02:39:00
T00261,C0053,CH03,2024-06-16 21:43:00
T00262,C0053,CH04,2024-09-22 16:20:00
T05516,C0053,CH06,2024-09-22 16:20:01
T00263,C0054,CH04,2023-03-23 18:31:00
T00264,C0054,CH02,2023-04-17 17:57:00
T00265,C0054,CH04,2024-01-06 06:04:00
T00266,C0054,CH05,2024-05-10 01:58:00
T00267,C0054,CH01,2024-06-11 06:02:00
T05273,C0054,CH06,2024-06-11 06:02:01
T00268,C0055,CH04,2023-02-13 15:51:00
T00269,C0055,CH03,2023-03-14 03:49:00
T00270,C0055,CH02,2023-07-26 22:40:00
T00271,C0055,CH04,2023-10-22 02:12:00
T00272,C0055,CH05,2024-08-22 02:38:00
T00273,C0056,CH02,2023-10-14 20:45:00
T00274,C0056,CH02,2024-01-25 12:04:00
T00275,C0056,CH02,2024-01-30 09:17:00
T00276,C0056,CH03,2024-09-20 19:28:00
T00277,C0056,CH05,2024-10-04 22:11:00
T00278,C0056,CH03,2024-10-23 19:08:00
T00279,C0056,CH05,2024-11-19 00:50:00
T00280,C0057,CH04,2023-04-02 01:16:00
T00281,C0057,CH02,2023-11-23 06:13:00
T00282,C0057,CH05,2023-12-13 04:17:00
T00283,C0058,CH03,2023-03-27 10:47:00
T00284,C0058,CH03,2023-06-10 09:06:00
T00285,C0058,CH01,2024-03-08 03:26:00
T00286,C0058,CH05,2024-03-13 19:48:00
T00287,C0058,CH04,2024-11-02 04:32:00
T05353,C0058,CH06,2024-11-02 04:32:01
T00288,C0059,CH01,2023-06-06 21:36:00
T00289,C0059,CH01,2023-12-12 06:19:00
T00290,C0059,CH05,2024-01-13 12:18:00
T00291,C0059,CH04,2024-04-09 19:18:00
T00292,C0059,CH03,2024-05-14 20:25:00
T00293,C0059,CH03,2024-12-30 03:57:00
T05359,C0059,CH06,2024-12-30 03:57:01
T00294,C0060,CH05,2023-02-18 10:40:00
T00295,C0060,CH04,2023-02-27 07:16:00
T00296,C0060,CH05,2023-07-13 17:33:00
T00297,C0060,CH04,2023-11-18 08:41:00
T00298,C0060,CH05,2023-12-29 04:44:00
T00299,C0060,CH05,2024-06-11 23:35:00
T00300,C0060,CH05,2024-08-09 19:22:00
T05347,C0060,CH06,2024-08-09 19:22:01
T00301,C0061,CH02,2023-03-19 21:39:00
T00302,C0061,CH01,2023-07-21 04:48:00
T00303,C0061,CH05,2024-07-06 12:07:00
T00304,C0061,CH01,2024-09-05 01:23:00
T00305,C0062,CH03,2023-03-14 18:15:00
T00306,C0062,CH02,2023-12-06 02:33:00
T00307,C0062,CH04,2024-01-23 00:07:00
T00308,C0062,CH05,2024-04-12 00:34:00
T00309,C0062,CH02,2024-04-24 19:21:00
T00310,C0062,CH04,2024-05-14 22:11:00
T00311,C0062,CH04,2024-12-22 23:04:00
T05249,C0062,CH06,2024-12-22 23:04:01
T00312,C0063,CH03,2023-01-07 15:47:00
T00313,C0063,CH04,2023-11-12 22:36:00
T00314,C0063,CH02,2024-03-03 08:19:00
T00315,C0063,CH03,2024-08-06 21:21:00
T00316,C0064,CH05,2023-01-19 01:13:00
T00317,C0064,CH03,2023-03-27 13:26:00
T00318,C0064,CH04,2024-03-30 01:43:00
T00319,C0064,CH02,2024-07-18 02:22:00
T00320,C0064,CH02,2024-08-08 15:16:00
T00321,C0064,CH02,2024-09-19 21:24:00
T04986,C0064,CH06,2024-09-19 21:24:01
T00322,C0065,CH02,2023-02-24 12:45:00
T00323,C0065,CH03,2023-06-28 00:29:00
T00324,C0065,CH02,2023-06-30 23:02:00
T00325,C0065,CH04,2023-10-20 18:52:00
T05383,C0065,CH06,2023-10-20 18:52:01
T00326,C0066,CH05,2024-01-26 19:18:00
T00327,C0066,CH05,2024-10-31 19:32:00
T00328,C0066,CH03,2024-11-17 13:50:00
T05184,C0066,CH06,2024-11-17 13:50:01
T00329,C0067,CH03,2023-01-29 00:25:00
T00330,C0067,CH05,2023-07-06 10:55:00
T00331,C0067,CH05,2024-05-28 05:13:00
T00332,C0067,CH03,2024-11-14 20:24:00
T00333,C0068,CH05,2023-05-06 04:52:00
T00334,C0068,CH04,2023-10-10 17:59:00
T00335,C0068,CH03,2024-01-14 21:40:00
T00336,C0068,CH02,2024-11-23 12:41:00
T05101,C0068,CH06,2024-11-23 12:41:01
T00337,C0069,CH05,2023-01-17 13:02:00
T00338,C0069,CH01,2023-03-10 17:32:00
T00339,C0069,CH03,2023-07-15 01:51:00
T00340,C0069,CH05,2023-09-15 19:06:00
T00341,C0069,CH01,2024-04-14 05:02:00
T00342,C0069,CH01,2024-06-20 14:20:00
T00343,C0069,CH05,2024-07-25 22:44:00
T05493,C0069,CH06,2024-07-25 22:44:01
T00344,C0070,CH01,2023-05-09 16:41:00
T00345,C0070,CH05,2024-01-16 21:22:00
T00346,C0070,CH03,2024-08-03 11:05:00
T00347,C0070,CH01,2024-08-25 13:32:00
T00348,C0070,CH03,2024-10-02 03:35:00
T00349,C0070,CH03,2024-10-18 12:17:00
T05074,C0070,CH06,2024-10-18 12:17:01
T00350,C0071,CH04,2023-11-29 16:23:00
T00351,C0071,CH03,2024-06-06 01:18:00
T00352,C0071,CH03,2024-06-16 11:34:00
T00353,C0071,CH01,2024-11-18 03:24:00
T05290,C0071,CH06,2024-11-18 03:24:01
T00354,C0072,CH04,2023-08-29 03:54:00
T00355,C0072,CH01,2024-03-29 06:26:00
T00356,C0072,CH02,2024-06-05 03:45:00
T05387,C0072,CH06,2024-06-05 03:45:01
T00357,C0073,CH01,2023-01-28 00:17:00
T00358,C0073,CH02,2023-03-10 23:48:00
T00359,C0073,CH04,2023-12-31 02:38:00
T00360,C0073,CH02,2024-06-01 14:32:00
T00361,C0073,CH02,2024-07-17 17:18:00
T00362,C0073,CH05,2024-09-09 11:38:00
T00363,C0073,CH02,2024-10-14 19:39:00
T00364,C0074,CH04,2023-03-19 16:39:00
T00365,C0074,CH04,2023-05-24 05:30:00
T00366,C0074,CH04,2023-05-29 09:12:00
T00367,C0074,CH04,2023-06-17 21:33:00
T00368,C0074,CH05,2023-07-30 01:31:00
T00369,C0074,CH01,2024-05-17 09:58:00
T05399,C0074,CH06,2024-05-17 09:58:01
T00370,C0075,CH03,2023-02-23 23:14:00
T00371,C0075,CH05,2023-03-18 20:04:00
T00372,C0075,CH04,2023-11-12 17:53:00
T00373,C0075,CH02,2024-06-25 18:26:00
T00374,C0075,CH05,2024-11-26 17:11:00
T00375,C0075,CH04,2024-12-23 12:40:00
T05026,C0075,CH06,2024-12-23 12:40:01
T00376,C0076,CH02,2023-04-21 10:12:00
T00377,C0076,CH03,2024-02-09 08:49:00
T00378,C0076,CH05,2024-02-25 20:33:00
T00379,C0076,CH04,2024-09-01 00:10:00
T00380,C0076,CH04,2024-10-10 09:14:00
T00381,C0077,CH05,2023-02-01 21:14:00
T00382,C0077,CH02,2023-02-28 22:51:00
T00383,C0077,CH03,2024-02-21 03:59:00
T00384,C0078,CH01,2023-01-24 07:14:00
T00385,C0078,CH03,2023-11-18 16:53:00
T00386,C0078,CH02,2024-01-24 10:25:00
T00387,C0078,CH04,2024-06-05 00:17:00
T00388,C0078,CH05,2024-06-14 11:24:00
T00389,C0078,CH04,2024-07-19 20:46:00
T00390,C0078,CH02,2024-11-21 04:03:00
T05421,C0078,CH06,2024-11-21 04:03:01
T00391,C0079,CH01,2023-02-25 21:27:00
T00392,C0079,CH03,2023-10-08 01:57:00
T00393,C0079,CH03,2023-12-19 05:21:00
T00394,C0079,CH02,2023-12-20 16:47:00
T00395,C0079,CH01,2024-05-27 11:12:00
T00396,C0079,CH05,2024-07-07 11:33:00
T00397,C0079,CH04,2024-12-11 21:12:00
T00398,C0080,CH02,2023-01-14 08:20:00
T00399,C0080,CH04,2023-10-09 03:00:00
T00400,C0080,CH05,2024-07-11 15:54:00
T00401,C0081,CH05,2023-03-15 09:22:00
T00402,C0081,CH05,2023-10-21 12:03:00
T00403,C0081,CH04,2023-12-02 16:51:00
T00404,C0081,CH01,2024-02-02 22:36:00
T00405,C0081,CH01,2024-06-27 17:32:00
T00406,C0081,CH03,2024-07-28 15:32:00
T05052,C0081,CH06,2024-07-28 15:32:01
T00407,C0082,CH03,2023-03-17 00:58:00
T00408,C0082,CH01,2023-04-02 00:31:00
T00409,C0082,CH02,2023-04-18 03:27:00
T00410,C0082,CH02,2024-08-15 20:36:00
T05162,C0082,CH06,2024-08-15 20:36:01
T00411,C0083,CH05,2024-03-12 11:46:00
T00412,C0083,CH05,2024-05-10 03:37:00
T00413,C0083,CH02,2024-06-03 20:25:00
T00414,C0084,CH05,2023-01-14 21:13:00
T00415,C0084,CH05,2023-05-30 03:29:00
T00416,C0084,CH03,2023-06-05 09:54:00
T00417,C0084,CH01,2023-08-16 08:45:00
T00418,C0084,CH01,2024-07-02 09:45:00
T00419,C0084,CH01,2024-07-31 02:51:00
T00420,C0084,CH01,2024-10-12 21:35:00
T05126,C0084,CH06,2024-10-12 21:35:01
T00421,C0085,CH03,2023-11-03 09:08:00
T00422,C0085,CH05,2023-11-20 10:44:00
T00423,C0085,CH04,2024-06-07 21:40:00
T00424,C0086,CH04,2023-04-27 23:17:00
T00425,C0086,CH05,2023-08-03 05:37:00
T00426,C0086,CH01,2023-10-06 12:06:00
T00427,C0086,CH03,2024-01-08 07:45:00
T00428,C0086,CH03,2024-07-04 13:10:00
T00429,C0086,CH01,2024-07-17 18:24:00
T05397,C0086,CH06,2024-07-17 18:24:01
T00430,C0087,CH01,2023-07-15 22:10:00
T00431,C0087,CH01,2023-11-15 11:17:00
T00432,C0087,CH04,2024-01-11 19:23:00
T00433,C0087,CH02,2024-07-12 01:56:00
T00434,C0087,CH02,2024-10-14 05:20:00
T00435,C0088,CH02,2023-03-22 03:21:00
T00436,C0088,CH05,2023-08-16 22:06:00
T00437,C0088,CH02,2023-10-28 16:45:00
T00438,C0088,CH01,2024-02-08 14:59:00
T00439,C0088,CH05,2024-08-24 15:40:00
T00440,C0089,CH01,2023-04-12 22:58:00
T00441,C0089,CH01,2023-09-20 16:44:00
T00442,C0089,CH03,2023-11-26 11:44:00
T00443,C0089,CH04,2024-03-31 15:55:00
T05392,C0089,CH06,2024-03-31 15:55:01
T00444,C0090,CH02,2023-03-20 14:26:00
T00445,C0090,CH03,2023-11-19 15:33:00
T00446,C0090,CH02,2024-02-19 04:51:00
T00447,C0090,CH03,2024-05-25 11:19:00
T05118,C0090,CH06,2024-05-25 11:19:01
T00448,C0091,CH04,2023-03-26 12:21:00
T00449,C0091,CH03,2023-03-29 07:13:00
T00450,C0091,CH01,2023-04-08 07:17:00
T00451,C0091,CH01,2023-04-10 07:59:00
T00452,C0091,CH04,2023-08-26 06:58:00
T00453,C0091,CH02,2023-11-19 04:37:00
T00454,C0092,CH02,2023-03-02 23:28:00
T00455,C0092,CH01,2023-10-23 02:17:00
T00456,C0092,CH04,2024-04-14 12:14:00
T00457,C0092,CH05,2024-07-28 00:46:00
T05234,C0092,CH06,2024-07-28 00:46:01
T00458,C0093,CH01,2023-08-25 01:52:00
T00459,C0093,CH01,2023-11-16 07:54:00
T00460,C0093,CH02,2024-08-03 17:04:00
T00461,C0093,CH02,2024-11-02 03:06:00
T00462,C0093,CH01,2024-12-15 11:21:00
T00463,C0094,CH05,2023-05-08 23:12:00
T00464,C0094,CH03,2023-07-29 15:15:00
T00465,C0094,CH05,2023-09-27 02:38:00
T00466,C0094,CH04,2024-01-25 09:27:00
T00467,C0094,CH04,2024-03-29 03:13:00
T00468,C0094,CH02,2024-10-20 18:11:00
T05563,C0094,CH06,2024-10-20 18:11:01
T00469,C0095,CH05,2023-08-25 02:12:00
T00470,C0095,CH05,2023-10-18 22:33:00
T00471,C0095,CH02,2024-02-20 21:28:00
T00472,C0095,CH01,2024-07-25 23:51:00
T00473,C0095,CH03,2024-08-21 18:00:00
T00474,C0095,CH02,2024-10-28 11:18:00
T00475,C0096,CH01,2023-01-28 19:04:00
T00476,C0096,CH02,2023-02-07 17:29:00
T00477,C0096,CH03,2023-02-18 14:52:00
T00478,C0096,CH04,2023-08-14 21:49:00
T00479,C0096,CH03,2024-12-07 17:58:00
T00480,C0096,CH01,2024-12-13 16:59:00
T05032,C0096,CH06,2024-12-13 16:59:01
T00481,C0097,CH01,2023-01-11 11:06:00
T00482,C0097,CH01,2023-03-17 16:19:00
T00483,C0097,CH03,2024-06-30 02:46:00
T05069,C0097,CH06,2024-06-30 02:46:01
T00484,C0098,CH02,2023-07-30 14:37:00
T00485,C0098,CH04,2023-12-12 16:10:00
T00486,C0098,CH05,2024-04-09 10:09:00
T00487,C0098,CH01,2024-11-19 00:49:00
T00488,C0099,CH02,2023-01-05 07:38:00
T00489,C0099,CH05,2023-01-10 20:32:00
T00490,C0099,CH02,2023-06-18 16:31:00
T00491,C0099,CH05,2024-05-11 10:33:00
T00492,C0099,CH03,2024-08-18 12:45:00
T00493,C0099,CH02,2024-09-23 13:27:00
T00494,C0099,CH01,2024-12-07 08:23:00
T00495,C0100,CH04,2023-03-14 01:30:00
T00496,C0100,CH05,2023-06-24 18:18:00
T00497,C0100,CH05,2023-12-21 22:32:00
T00498,C0100,CH05,2024-03-05 17:13:00
